"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"418","Sabrina, the Animated Series","5.9","1999-2000",30,"Animation, Comedy, Family","TV-Y",3445,"Short lived animated spin off of the television series Sabrina the Teenage Witch. The animated series is a prequel which features Sabrina as a pre-teen girl with small witch powers. Also ... See full summary »"
"419","Megas XLR","8.2","2004-2005",30,"Animation, Short, Action","TV-Y7-FV",5714,"Two teenage slackers find a mecha from the future that had been lying in a New Jersey junkyard for nearly 60 years and make modifications much to the dismay of the robot's attractive creator."
"420","Jason of Star Command","6.5","1978-1981",30,"Action, Adventure, Family",NA,358,"A young Space Command officer fights the evil space lord Dragos and his minions in his jurisdiction of the universe."
"421","DC Super Hero Girls","6","2015-2018",3,"Animation, Short, Action","TV-Y7",702,"At Super Hero High, iconic super heroes like Wonder Woman, Supergirl, Batgirl, Harley Quinn, Bumblebee, Poison Ivy, and Katana navigate all the twists and turns of high school."
"422","The Real Adventures of Jonny Quest","7.7","1996-1997",21,"Animation, Action, Adventure","TV-PG",2485,"A teenager and his extended family investigate the supernatural and other mysteries around the world."
"423","The Invisible Man","6.7","1975-1976",60,"Adventure, Sci-Fi, Thriller",NA,875,"The weekly adventures of Dr. Daniel Westin, an invisible scientist working as an agent for a private thinktank."
"424","ReBoot: The Guardian Code","3.8","2018",30,"Action, Comedy, Drama","TV-Y7-FV",1188,"Four teenagers are recruited by an AI to help protect both cyberspace and the real world."
"425","El Deafo","8.2","2022-",25,"Animation, Adventure, Comedy","TV-G",69,"Follows a kid as she loses her hearing and finds her inner superhero."
"426","The Neighbor","6.6","2019-2021",30,"Action, Comedy",NA,2109,"Javier is going through a bad patch: he can hardly make it to the end of the month, his business of T-shirts with de-motivational slogans is not quite getting the attention, and his ... See full summary »"
"427","Space Ghost","7.3","1966-1968",30,"Animation, Action, Adventure","TV-Y7",1767,"The adventures of a space superhero who can become invisible and his sidekicks."
"428","Super Why!","6.1","2007-2016",30,"Animation, Family","TV-Y",826,"A group of characters who live at a library turn into superheroes and then go into books; using early reading skills to save the day. They later use a problem from the story one of them faced and apply it to their own lives."
"429","Underdog","7.2","1964-1973",NA,"Animation, Action, Adventure","TV-G",2348,"The adventures of a rhyming canine superhero."
"430","Captain Scarlet and the Mysterons","7.8","1967-1968",25,"Animation, Action, Family","TV-PG",1629,"In 2068, the indestructible Captain Scarlet leads the agents of Spectrum in a war of nerves against the Mysterons from Mars."
"431","Aaron Stone","6.7","2009-2010",NA,"Action, Adventure, Family","TV-Y7",932,"Sixteen-year old Charlie Landers is a legend in the online video game world. Via his avatar, Aaron Stone, Charlie is the best player in the world at the video game, Hero Rising. His life is... See full summary »"
"432","The Krofft Supershow","7.5","1976-1978",NA,"Family, Fantasy, Sci-Fi",NA,186,"An anthology of live-action fantasy/adventure shows hosted by musical group Kaptain Kool and the Kongs."
"433","The Rocketeer","5.1","2019-2020",NA,"Animation, Short, Action","TV-Y",166,"A girl inherits the persona of The Rocketeer, and with the help of her gadget-building friend they tackle epic adventures."
"434","Legion of Super Heroes","7.1","2006-2008",NA,"Animation, Action, Comedy","Not Rated",1528,"The adventures of a young Clark Kent, as Superman, during his time with a team of teenage superheroes in the far future."
"435","Ultraman: A Special Effects Fantasy Series","7.9","1965-1967",30,"Action, Adventure, Comedy","TV-14",712,"A human member of a defense force is given the life and ability to change into a giant super-hero to battle the monsters that wreaks havoc on Earth."
"436","Spy Kids: Mission Critical","5.1","2018-",NA,"Animation, Action, Adventure","TV-Y7-FV",369,"The series centers around brother and sister team Juni and Carmen Cortez as they attend Spy Kids Academy, a top secret spy school for kid agents. When a new counter-spy agency threatens the... See full summary »"
"437","Rambo","6.4","1986",30,"Animation, Action, Adventure","TV-Y7",685,"On Colonel Trautman's request, John Rambo leads special unit The Force of Freedom against paramilitary terrorist organization S.A.V.A.G.E. (Specialist-Administrators of Vengeance, Anarchy and Global Extortion) all over the globe."
"438","Street Sharks","6.3","1994-1996",22,"Animation, Action, Adventure","TV-Y7",2585,"Ripster, Jab, Streex and Slammu must protect their reputations and change the way they are being viewed in Fission City. They must fight Dr. Piranoid as well as finding their father once and for all..."
"439","The Legend of Tarzan","6.8","2001-2003",22,"Animation, Action, Adventure","TV-Y",2962,"The further adventures of the jungle hero Tarzan (1999) and his friends."
"440","Blood+","7.6","2005-2006",NA,"Animation, Action, Adventure","TV-MA",4494,"In present day Okinawa, a young amnesiac girl named Saya combats vicious, shape-shifting vampires. Her adoptive family and friends help her track down their source and uncover her past."
"441","¡Mucha Lucha!","5.8","2002-2005",22,"Animation, Short, Action","TV-Y7-FV",2836,"The Story of three masked wrestlers in Wrestling school."
"442","Fantastic Four: World's Greatest Heroes","6.8","2006-2010",30,"Animation, Action, Family","TV-Y7",2344,"The adventures of the Marvel Universe's premiere superhero family."
"443","Monsters vs. Aliens","5.8","2013-2014",15,"Animation, Short, Action","TV-Y7",1197,"The further adventures of Susan and her monster friends as they defend Earth from various alien and supernatural threats."
"444","El Tigre: The Adventures of Manny Rivera","6.3","2007-2008",NA,"Animation, Short, Action","TV-Y7",1718,"The daily adventures of a 12 year old Mexican superhero dealing with bizarre enemies, as well as his own superhero father and villain grandfather."
"445","The Legend of Zelda","6.3","1989",15,"Animation, Action, Adventure","TV-Y7-FV",1598,"Based on the popular Nintendo game of the same name. Link and Princess Zelda protect the mystical artifact, the Triforce of Wisdom, from falling into the hands of the evil sorcerer Ganon."
"446","Action Pack","6.3","2022-",29,"Animation, Action, Adventure","TV-Y",60,"Follows a group of kids who use their super powers to implement lessons and bring out the good in everything, even in villains."
"447","Thundarr the Barbarian","7.5","1980-1981",30,"Animation, Action, Adventure","TV-Y7",1466,"Thundarr the Barbarian and his companions Ookla the Mok and Princess Ariel wander a devastated future Earth and fight evil wherever they find it."
"448","Penn Zero: Part-Time Hero","7.2","2014-2017",22,"Animation, Adventure, Comedy","TV-Y7",1989,"Penn Zero is not your average kid - every day he's zapped into another dimension with his friends to save the world."
"449","Marvel's Moon Girl and Devil Dinosaur",NA,"2022-",NA,"Animation, Action, Adventure","TV-Y7",NA,"After 13-year-old super-genius Lunella accidentally brings ten-ton T-Rex, Devil Dinosaur into present-day New York City via a time vortex, the duo works together to protect the city's Lower East Side from danger."
"450","Grendel","Not-Rated","TBA",NA,"Action, Adventure, Crime",NA,NA,"Follows a gifted fencer, writer and assassin, seeking to avenge the death of a lost love. He goes to the criminal underworld and asks himself, why beat them, when he can join them?"
"451","The Secret Saturdays","7.1","2008-2010",NA,"Animation, Action, Adventure","TV-Y7",2115,"An adventuresome family of experts in the field of creatures known as cryptids attempts to protect their secrets and powers from the forces of evil."
"452","Monsuno","4.9","2011-",NA,"Animation, Action, Adventure","TV-Y7",557,"A group of young friends find monster DNA."
"453","Super Gran","6.4","1985-1987",60,"Comedy, Crime, Family",NA,500,"The adventures of a super-powered granny who fights crime in her community."
"454","T.U.F.F. Puppy","5.5","2010-2015",NA,"Animation, Short, Action","TV-Y7",3374,"A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives."
"455","The Mighty B!","5.3","2008-2011",24,"Animation, Short, Comedy","TV-Y7",2429,"Overachieving Honeybee scout, Bessie Higgenbottom, attempts to earn every last Bee Badge."
"456","Captain Caveman and the Teen Angels","6.4","1977-1980",11,"Animation, Short, Comedy","TV-G",3557,"The adventures of a superhero caveman and a trio of female amateur detectives."
"457","Buck Rogers","6.6","1950-1951",30,"Sci-Fi",NA,55,"A twentieth century football player is swept to the twenty-fifth century and joins the battle against the local despot."
"458","BraveStarr","7.1","1987-1989",30,"Animation, Action, Family","TV-Y7",2904,"A Native American marshal and his friends keep the peace on the frontier planet of New Texas."
"459","Queen of Swords","7.1","2000-2001",30,"Action, Adventure, Western",NA,447,"A young woman returns to her home in California after her father's mysterious death. There, she becomes a symbol, the queen of swords, fighting for justice and trying to right the wrongs the colonel has done."
"460","Superman","7.1","1988",30,"Animation, Short, Action",NA,898,"The Man of Steel fights evil in the city of Metropolis and beyond. Each episode ends with a short vignette about key events from Kal-El's youth on Earth."
"461","Transformers: Armada","7.1","2002-2003",30,"Action, Animation, Adventure","TV-Y7",1424,"The Autobots and the Decepticons are going at it again, but this time the two factions are fighting over little transformers called the Mini-Cons. These Transformers gives their masters a ... See full summary »"
"462","The Adventures of Kid Danger","2.1","2018",30,"Animation, Action, Adventure","TV-Y7",854,"The adventures of Ray and Henry continue as they fight old and new criminals in this animated spinoff."
"463","Defenders of the Earth","7.1","1986-1991",30,"Animation, Action, Adventure","TV-Y7",1477,"Four of the greatest comic strip heroes join forces to battle Ming the Merciless."
"464","WHIH News Front","6.9","2015-2016",9,"Sci-Fi","TV-PG",747,"A series of news bulletins on events within the Marvel Cinematic Universe, as presented by reporter Christine Everhart."
"465","Robotboy","5.8","2005-2008",30,"Animation, Action, Comedy","TV-G",2173,"Robotboy is a cute, cutting-edge, butt-kicking battle-robot, who dreams of becoming a real boy. Created by world-renowned scientist Professor Moshimo, Robotboy has the ability to ... See full summary »"
"466","Marvel Future Avengers","5.8","2017-2018",NA,"Animation, Action, Adventure","TV-PG",215,"follows a young boy named Makoto, who gains superpowers due to an evil gene manipulation experiment. Makoto and other young kids with powers join the Avengers as apprentices named ""Future Avengers."""
"467","Famalam","6.3","2018-",20,"Comedy",NA,366,"A zany, new comedy sketch show featuring an array of oddball characters and off-the-wall situations ranging from a misunderstood superhero to Croydon's leading witch-doctor."
"468","Ozzy & Drix","6.9","2002-2003",30,"Animation, Short, Action","TV-Y7",1308,"The further adventures of Osmosis Jones (Phil LaMarr) and Drix (Jeff Bennett) as they defend the body of a young boy."
"469","Kamen Rider","7.8","1971-1973",30,"Action, Adventure, Drama","TV-G",290,"A grasshopper-like, motorcycle-riding cyborg (joined by another one later in the show) fights the evil organization that transformed him for their evil deeds."
"470","Gargoyles: The Goliath Chronicles","7.8","1996-1997",30,"Animation, Action, Crime","TV-Y7",2310,"The Manhattan Clan fight for justice and human acceptance in New York City."
