"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"648","Biker Mice from Mars","6.4","2006-2007",22,"Animation, Action, Sci-Fi","TV-Y7-FV",388,"Martian Mice, who ride motorcycles, crash land on Earth and help fight against the Catatonians."
"649","Dinosaucers","6.5","1987",30,"Animation, Action, Comedy","TV-Y7",698,"Two factions of warriors from outer-space crash land on Earth; a good one in light blue armor and an evil one of red dinosaurs in dark blue armor . The good join forces with several Earth ... See full summary »"
"650","Storm Hawks","7.1","2007-2009",22,"Animation, Adventure, Comedy","TV-Y7",726,"Storm Hawks is set in a fantastical world where squadrons of high-flying Sky Knights battle to protect their air turf. Five mismatched teens have found the wreckage of legendary sky knight ... See full summary »"
"651","Superman: Red Son","7.1","2009",6,"Animation, Action, Adventure",NA,1028,"In the 1950s, the Soviet Union reveals its newest asset to be Superman. The sudden revelation of a superpowered alien under Soviet control causes panic in the United States, shifting the ... See full summary »"
"652","The New Adventures of He-Man","5.5","1990-1991",30,"Animation, Action, Adventure",NA,549,"The sequel series to He-Man, taking place 10,000 years into the future. Prince Adam is brought from the past to protect the Planet Primus from the evil mutants led by Floog and Skeletor."
"653","Junior-G","6.7","2001-",NA,"Action, Fantasy",NA,103,"A 12 years old boy blessed with magical divine powers fights evil persons like Fyumancho, Linda, Bobo, Madamme mercury, Helma, Dyana-the witch, Samahona, Bona and Magneto."
"654","The Team Unicorn Saturday Action Fun Hour!","7.3","2014-",NA,"Comedy",NA,14,"Four heroines and some dark twists."
"655","Mona the Vampire","6.3","1999-2008",23,"Animation, Adventure, Comedy","TV-Y",1259,"An animated TV series about a girl called Mona, a young girl with a vivid imagination. She believes her hometown is overrun with supernatural monsters, and she plans to stop them all and save the town on a daily basis."
"656","Kaiketsu Zoro","7.7","1996-1997",105,"Animation, Action, Adventure",NA,579,"Diego Vega returns from his study trip to discover his homeland is under the army's dictatorship. Diego, refusing to watch idly, disguises himself as Zorro to protect the weak and oppressed."
"657","Wild C.A.T.S: Covert Action Teams","6.8","1994-",NA,"Animation, Action, Adventure",NA,641,"Universal war wages between two prehistoric alien races. One of the races is the heroic Kherubim while the other is the evil Daemonites."
"658","Xiaolin Chronicles","6.6","2013-2015",22,"Animation, Short, Action","TV-Y7-FV",1029,"The team of ""Xiaolin Showdown"" is rebooted in this all new TV series to hunt down Shen Gon Wu. By their side, a new ally joins them in the fight of good vs. evil."
"659","The League of Super Evil","6.5","2009-2012",22,"Animation, Action, Comedy","TV-Y7",375,"This show follows the wannabe super villains that make up ""The League Of Super Evil""."
"660","Mighty Thor","6.6","1966",NA,"Animation, Action, Fantasy",NA,731,"The contemporary adventures of the Norse god of thunder and lightning."
"661","Godzilla","6.4","1978-1980",30,"Animation, Adventure, Family","TV-Y7",677,"The crew of the research vessel, The Calico, investigate strange phenomena and often meet menaces that force them to summon Godzilla to help."
"662","StarBeam","6.9","2020-",NA,"Animation, Action, Adventure","TV-Y",89,"Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox."
"663","Astro Boy","7.4","1963-1966",30,"Animation, Action, Adventure","TV-Y7",912,"As long as trouble's brewing across the universe, the small but powerful robot, Astro Boy, will have adventures, assisted by his mentor, Dr. Elefun."
"664","Sherlock Holmes in the 22nd Century","7.4","1999-2001",30,"Animation, Action, Adventure","TV-Y7",478,"A defrosted Holmes teams with a robotic Watson and a female Inspector Lestrade to stop the criminal rampage of Moriarty's clone."
"665","Super Girl","5.5","2011-",9,"Action, Comedy, Fantasy",NA,308,"Not-for-profit fan production depicting Super Girl's first year in college."
"666","Adam Adamant Lives!","7","1966-1967",50,"Adventure, Sci-Fi",NA,214,"In 1902, Edwardian adventurer Adam Adamant is frozen alive in a block of ice by his arch-nemesis, the Face. In 1966, workmen discover him and he is revived, perfectly preserved but ... See full summary »"
"667","Steve Canyon","7.2","1958-1959",30,"Adventure",NA,114,"Air Force pilot Steve Canyon, the commander of Big Thunder Air Force Base, travels from base to base as an all around trouble shooter, when he's not dealing with the the personal and military problems of his own everyday life."
"668","G.I. Joe: Sigma 6","5.2","2005-2006",30,"Animation, Action, Adventure","TV-Y7-FV",304,"G.I. Joe has been the Real American Hero for over twenty years, and is now jumping into the 21st Century with both feet forwards. Showing in half hour blocks, the producers promise a solid ... See full summary »"
"669","Who Wants to Be a Superhero?","6.1","2006-",NA,"Game-Show, Reality-TV",NA,1019,"Eleven hopefuls create their own superhero alter ego in a competition judged by comic book maestro Stan Lee; the winner will be immortalized in a new comic book to be created by Stan Lee himself and released by Dark Horse Comics."
"670","Chuck Norris: Karate Kommandos","5.8","1986",30,"Animation, Action, Family","TV-Y7",259,"Chuck Norris is an operative for the United States government who has a team consisting of Pepper, a technological genius, Kimo, a Samurai warrior, Reed, his apprentice, Tabe, a Sumo ... See full summary »"
"671","The Dick Tracy Show","6.1","1961-",23,"Animation, Crime, Adventure",NA,221,"Cartoon series produced by UPA, in which Dick Tracy (voiced by the distinguished film and stage actor Everett Sloane) played more or less of an incidental role. Most of the crime fighting ... See full summary »"
"672","ProStars","5.7","1991",30,"Animation, Short, Adventure",NA,162,"Three of the most famous sports stars of the day, basketball star Michael Jordan, hockey star Wayne Gretzky and baseball star Bo Jackson, team up to respond to emergencies around the world."
"673","Superman","7","1948-",NA,"Action, Sci-Fi",NA,69,"Kirk Alyn sets the heroic standard for generations to come - as Superman, the Man of Steel - in these fun, multichapter cliffhanger adventures. The 15-chapter Superman from 1948 spans our ... See full summary »"
"674","The New Adventures of Superman","7.4","1966-1970",30,"Animation, Action, Sci-Fi","TV-Y7-FV",883,"Superman protects Metropolis and the world from a variety of threats while working at the Daily Planet as Clark Kent."
"675","Black Spider-Man","7","2014-",NA,"Comedy",NA,19,"Black Spider-Man is not your typical superhero. Actually, he is not a hero at all. Always stoned and usually way out of line, he causes more trouble than he prevents."
"676","Gosei Sentai Dairanger","8.1","1993-1994",25,"Action, Adventure, Comedy","TV-PG",221,"Angered by the Dairanger's lack of confidence in each other in dealing with the Key Jester, Master Kaku forces the team to learn a history lesson regarding the Gorma and the consequences of their failure."
"677","Bigfoot and Wildboy","6.7","1977-",30,"Adventure",NA,130,"Children's series about Wildboy, an orphan who was raised in the wilderness of the Pacific Northwest by the legendary Sasquatch. Wildboy and Bigfoot roamed the countryside stomping out ... See full summary »"
"678","Guyver: The Bioboosted Armor","7.8","2005-2006",23,"Animation, Action, Adventure","TV-MA",745,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting a powerful fighting life form called Guyver."
"679","Legend of the Dragon","6.6","2005-2008",NA,"Animation, Action, Fantasy","TV-Y",209,"Ang (The Golden Dragon) protects the twelve Zodiac Temples, while his twin sister Ling (The Shadow Dragon) swears to destroy them."
"680","King Arthur and the Knights of Justice","7.3","1992-1994",30,"Animation, Adventure, Family",NA,491,"When the real King Arthur and his knights are captured by Morgana, Merlin casts a spell to bring an American football team called The Knights led by Arthur King to the past to help free the... See full summary »"
"681","Iron Man","6.6","1966",NA,"Animation, Action, Sci-Fi",NA,993,"An inventive munitions industrialist fights the forces of evil using a revolutionary suit of power armor."
"682","Toxic Crusaders","6.6","1991-1993",24,"Animation, Action, Comedy","TV-Y7",507,"A group of mutants fight against the pollution-loving alien Dr. Killemoff in the fictional city of Tromaville, led by Toxie, a nerd-turned-superhero."
"683","Major Lazer","7.6","2014-2015",15,"Animation, Action, Comedy","TV-MA",826,"Major Lazer and his team of renegades fight the evil President of Jamaica for the right to party."
"684","Ressha Sentai ToQger","7.8","2014-2015",25,"Action, Adventure, Comedy","TV-PG",156,"Only those with a great imagination can see the mystical railway known as the Rainbow Line, on which runs massive trains known as Ressha are driven by five warriors. These five warriors, ... See full summary »"
"685","Chouriki Sentai Ohranger","7.4","1995-1996",20,"Action, Adventure, Comedy","TV-PG",104,"600 million years ago, ancient mankind created a rebellious robot named Bacchus Wrath. Riki (Kingranger) banished Bacchus Wrath from earth. In year 1999, He returns to earth with the ... See full summary »"
"686","Galtar and the Golden Lance","7.1","1985-1986",30,"Action, Animation, Fantasy",NA,233,"Searching for the vile Tormak, the despot responsible for the deaths of his parents, Galtar aligned himself with beautiful princess Goleeta and her feisty younger telekinetic brother Zorn. ... See full summary »"
"687","The Savage Dragon","6.5","1995-1996",22,"Animation, Action, Adventure",NA,133,"Chicago cop, Frank Darling, discovers a huge green-skinned mutant named Dragon who suffers from amnesia. In the hope of uncovering his own identity, Dragon joins Chicago P.D. and battles evil mutants led by the mysterious Overlord."
"688","The Adventures of Napkin Man","7.9","2013-2017",12,"Animation","TV-Y",53,"A teacher, Mr. Anthony, teaches his students how to deal with various emotions appropriately. Mr. Anthony helps his students learn about emotions with stories about a superhero, Napkin Man, drawn on a napkin."
"689","The New Adventures of Jonny Quest","7.2","1986-1987",30,"Action, Animation, Family","TV-Y7",1411,"The story of the adventurous Jonny Quest who travels with his father and his friends around the world."
"690","InHumanoids","7.5","1986",30,"Animation, Action, Adventure",NA,417,"A team of human subterranean explorers and their allies are the surface's main defence against evil invading monsters."
"691","Samurai Pizza Cats","7.4","1990-1991",30,"Animation, Action, Comedy","TV-Y7",974,"The feline staff of a pizza joint fight crime as superheroes when called for."
"692","Uchu Sentai Kyuranger","7.4","2017-2018",25,"Action, Adventure, Comedy","TV-PG",133,"Earth has been taken over by invaders. With the universe under their thrall, the tears of the people awaken the nine ultimate saviors, chosen by the KyuTama, and they are here for the ... See full summary »"
"693","Ultraman Nexus","8.6","2004-2005",24,"Action, Adventure, Drama","TV-14",259,"The 18th show in Tsuburaya Productions' ULTRA series. Komon Kazuki is the latest member of TLT, a secret organization that destroy the invading ""space beasts""."
"694","Bubblegum Crisis: Tokyo 2040","7.2","1998-1999",NA,"Animation, Action, Adventure","TV-MA",813,"Set in 2039-2040, This series is set in Megalo City, a city built over the ruins of Tokyo. Boomers, a line of android workers created by the Genom Corporation, perform dozens of tasks, from... See full summary »"
"695","Teknoman","8.6","1995",NA,"Animation, Action, Drama","TV-Y7",63,"Tekkaman Blade takes place in the year 2300 AD. On a certain moment, the Radam attack earth. A few months after the beginning of the invasion, a tekkaman appears, he calls himself Blade and... See full summary »"
"696","Ultraforce","6.2","1995-",25,"Animation, Action, Sci-Fi",NA,124,"Ultras... Once ordinary people, now super-human, spread terror across the globe. Enemies of peace include Rune, Lord Pumpkin, and Sludge. The U.S. government forms a team led by Hardcase, ... See full summary »"
"697","New Teen Titans","7.5","2011-2012",1,"Animation, Fantasy, Sci-Fi",NA,234,"The adventures of the teenage superhero team, Teen Titans."
"698","Cadillacs and Dinosaurs","7.1","1993-1994",30,"Animation, Adventure, Sci-Fi",NA,391,"The adventures of the human survivors in a future dinosaur dominated world."
"699","Fangbone!","5.8","2014-",23,"Animation, Action, Adventure","TV-PG",312,"Fangbone is a nine-year-old barbarian warrior from Skullbania who has landed in Eastwood Elementary's third grade class to save his native land from the vilest villain, Venomous Drool. With... See full summary »"
"700","Tarzan, Lord of the Jungle","7.7","1976-1978",30,"Animation, Action, Adventure",NA,263,"This series is based on the adventures of Tarzan who seeks to champion the less fortunate, to right wrongs and to protect both the animals in his jungle as well as the human visitors."
"701","Rise of the Catwoman","7.6","2018-",NA,"Adventure",NA,18,"A fan-made origin story in a 12 minute pilot type episode released on YouTube by Hidden Vault Films telling an alternate origin story of how Selina Kyle becomes Catwoman."
"702","Captain Simian & The Space Monkeys","7.6","1996-1997",22,"Comedy, Family, Sci-Fi",NA,249,"A NASA monkey shot into space goes off course and is found by an alien race that mistakes him for Earth's dominant species. Charlie is given intelligence, the rank of Captain, a ship and a mission: to defeat the evil Nebula."
"703","Spectreman","7.5","1971-1972",NA,"Action, Sci-Fi, Adventure",NA,237,"Sent by the Nebula Star to defend the Earth, a super-cyborg fights mutated pollution monsters created by the evil space-simians Gori and Rah."
"704","Kamen Rider Ryuki","7.8","2002-2003",25,"Action, Adventure, Drama","TV-PG",560,"Thirteen card decks were created for thirteen Kamen Riders. They make Contracts with monsters from the mysterious Mirror World, a parallel world opposite to the real one in which only the Kamen Riders can exist."
"705","Pretty Cure","7","2004-2005",25,"Animation, Action, Adventure","TV-PG",212,"Two young girls, Nagisa and Honoka, find mysterious ""fairies"" that grant the girls the ability to transform into the legendary warriors known as Pretty Cure and combat the forces of darkness."
"706","Pac-Man and the Ghostly Adventures","4.9","2013-2016",30,"Animation, Action, Comedy","TV-Y7",631,"Pac-Man saves Pac World from ghosts with his friends Cyli and Spiral."
"707","Kamen Rider Amazons","7.8","2016-2017",45,"Action, Adventure, Drama","TV-PG",325,"Haruka and Jin, cultivation and wild. Around the contrasting of the two ""Amazon Riders"", crossed the intentions of a variety of characters, mysteries and stories."
"708","Dynomutt Dog Wonder","6.7","1976-1977",30,"Animation, Action, Adventure","TV-G",667,"The adventures of a robotic dog superhero who proves as much a hindrance as to his master, the Blue Falcon."
"709","Dick Tracy","7.6","1950-1952",30,"Drama",NA,134,"Intrepid detective Dick Tracy tangles with a bizarre rogue's gallery of villians. But as always our stoic officer of the law, virtuous to a fault, proves himself up to the task of putting the criminals behind bars."
"710","Transformers: The Headmasters","7.1","1987-1988",30,"Animation, Action, Adventure",NA,724,"With the aid of the Headmasters the mighty Cybertrons (Autobots) continue to wage war against their evil counterparts the Destrons (Decepticons). But with Convoy (Optimus Prime) now gone ... See full summary »"
"711","Samurai Sentai Shinkenger","8.4","2009-2010",25,"Action, Adventure, Comedy","TV-PG",241,"For eighteen generations, samurai of the Shiba Clan have suppressed the evil intentions of the Gedoushu, malevolent spirits that enter the world of the living from gaps between buildings ... See full summary »"
"712","Rave Master","7","2001-2002",24,"Animation, Action, Adventure","TV-Y7",296,"Haru Glory is a boy who lives with his sister, Cattleya, in Garage Island. After fishing out a thing called Plue, he meets Shiba who entrusted him with Rave Stone or more known as Holy ... See full summary »"
"713","The Sub-Mariner","6.5","1966-",NA,"Animation, Action, Fantasy",NA,461,"The prince of the sunken city of Atlantis protects his home from all enemies both above and below the surface of the sea."
"714","Kingdom Force","7.1","2019-",NA,"Animation, Action, Adventure",NA,55,"A 3D-animated action series for kids ages 3-6, KINGDOM FORCE follows the fast-paced exploits of five mighty animal heroes as they serve and protect the citizens of five unique animal kingdoms."
"715","Pretty Guardian Sailor Moon","7.4","2003-2004",30,"Action, Adventure, Fantasy",NA,612,"Live-action series which is an original re-telling of the original Bishoujo Senshi Sailormoon manga and anime series."
"716","Zak Storm","6.8","2016-",22,"Animation, Action, Adventure","TV-Y7-FV",158,"Zak Storm is about Zak, a young teen who, when in the middle of a surfing competition, gets sucked into the Seven Seas of the Bermuda Triangle, and becomes the captain of a ship of misfits.... See full summary »"
"717","Captain Vyom","8.4","1998-1999",24,"Action, Sci-Fi",NA,406,"A superhero Captain Vyom is given a team of some exceptionally-powered soldiers to fight 12 great villains of all-time who escaped the prison located on a moon of Jupiter."
"718","Astroboy","7.4","1980-2004",24,"Animation, Action, Adventure","TV-G",896,"Originally intended to be kept a secret, the Pinocchio-like character becomes a publicly renowned superhero -- complete with devices like laser-firing fingers, uncanny hearing, and ... See full summary »"
"719","Double Dragon","6.5","1993-1994",30,"Animation, Action, Adventure","TV-Y7",269,"A animated TV series based on the first Double Dragon video game."
"720","Cyborg 009","7.5","2001-2002",160,"Animation, Action, Adventure",NA,479,"Nine super-powered cyborg soldiers join forces to combat Black Ghost, the terrorist organization which they were originally created to serve."
"721","The Incredible Hulk","6.8","1982-1983",24,"Action, Animation, Adventure","TV-Y7",1555,"A research scientist is cursed with the tendency to turn into a giant green brute under stress."
"722","Action Man","6.7","2000-2002",30,"Animation, Action, Sport","TV-Y7",348,"An extreme sports competitor uses his ability to instantly plan and perform death defying stunts to fight evil."
"723","SheZow","5.9","2012-2013",30,"Animation, Action, Adventure",NA,546,"The adventures of a boy bonded to a magic ring that turns him into a female superhero."
"724","Mahou Sentai Magiranger","7.4","2005-2006",25,"Action, Adventure, Comedy","TV-14",151,"Forces from Infershia attack the surface world in order to resurrect N Ma, their emperor. Through their mother, the five Ozu Siblings discover that they are magicians chosen to defeat the ... See full summary »"
"725","Choujin Sentai Jetman","8.3","1991-1992",25,"Action, Adventure, Comedy","TV-14",231,"In the late 90's, a orbiting Earth space center run by the Earth Defense Force Sky Force has commissioned a ceremony on the ""J-Project"". Lead by Commander Aya Odagiri who has selected five ... See full summary »"
"726","The New Hanna-Barbera Cartoon Series","7.5","1962-",30,"Animation, Family, Comedy",NA,226,"A clash of a variety of different characters."
"727","Jade Armor",NA,"2022-",NA,"Animation, Action, Adventure","TV-Y7",NA,"The martial arts-loving Lan Jun, an unlikely teenage heroine who must learn the ancient secrets of her family and uncover the unexpected, all while navigating life as a teen."
"728","Teamo Supremo","4.1","2002-2004",30,"Animation, Action, Adventure","TV-Y",315,"The show tells of three superhero children: Captain Crandall (Spencer Breslin), Skate Lad (Alanna Ubach), and Rope Girl (Alanna Ubach). These three protect their state from all sorts of supervillains."
"729","Rocket Robin Hood","6.5","1966-1969",22,"Animation, Adventure, Family","TV-Y7",230,"The futuristic adventures of the legendary outlaw and his Merry Men in outer space, where their archnemesis, the evil Sheriff of N.O.T., pursues them."
"730","Cinema Club","8.3","2018-",NA,"Talk-Show",NA,24,"The Cinema Club aims to broaden the discourse of classic and contemporary works of cinema by applying new forms of criticism to the language of cinematic expression."
"731","Marvel Disk Wars: The Avengers","5.1","2014-2015",NA,"Animation, Action, Adventure","TV-PG",283,"A group of teenagers join forces with the Avengers, Earth's mightiest heroes, to fight against the tyrannical Loki and his mighty empire."
"732","Kamen Rider W","8.3","2009-2010",25,"Action, Adventure, Comedy","TV-PG",520,"A detective, Hidari Shotaro, and an unknown library-boy, Phillip, combine to become a half-green half-black hero to protect Fuuto City by using Gaia Memories."
"733","Mighty Mouse: The New Adventures","7","1987-1988",30,"Animation, Action, Adventure","TV-Y7",659,"Mighty Mouse has humorous, satirical adventures in this short-lived Saturday Morning cartoon by Ralph Bakshi."
"734","Zorro","6.6","1997-1998",30,"Animation, Family, Adventure",NA,200,"Don Diego de la Vega opposes the corrupt tyrants of Spanish California as the masked swordsman, Zorro."
"735","Mega Babies","2.8","1999-2000",NA,"Animation, Comedy, Fantasy","TV-Y7",1012,"Mega Babies is a show about a trio of super infants named Meg, Derrick, and Buck who, with the help of their guardian, Nurse Lazlo, defend their home city from evil doers."
"736","Justice League: Gods and Monsters Chronicles","7.6","2015-2016",6,"Animation, Short, Action",NA,1337,"Taking place in an alternate reality featuring their versions of Superman, Wonder Woman, and Batman."
"737","Ultraman Z","7.9","2020",25,"Action, Adventure, Comedy","TV-PG",178,"The newest Ultra Hero is Ultraman Zett, the disciple of Ultraman Zero, who is now celebrating his tenth anniversary. An admirer of Zero, Zett worked hard to become a member of the ""Inter ... See full summary »"
"738","Kamen Rider Den-O","7.7","2007-2008",25,"Action, Adventure, Comedy","TV-PG",439,"Ryotaro Nogami transforms into Kamen Rider Den-O traveling to different times using the time-traveling train DenLiner to battle the Imagin monsters and preventing them from altering the past to affect the present and future."
"739","Nutri Ventures","8.1","2013-2016",24,"Animation, Adventure","TV-Y7",51,"Theo, Lena, Ben, Nina and their Guga friends have the exciting mission of discovering the food group kingdoms and returning nutritious food to their city where no food exists under the rule of super villain Alex Grand."
"740","The Batman/Superman Hour","7.5","1968-1969",60,"Animation, Action, Adventure",NA,1377,"The Dynamic Duo battles crime in Gotham City."
"741","The Ripping Friends","6.4","2001-2002",30,"Animation, Comedy","TV-PG",472,"The misadventures of a quartet of muscleheaded superheroes."
"742","Chespirito","8.1","1980-1995",60,"Comedy, Crime, Family","TV-PG",541,"Comic sketches by Roberto Gomez Bolaños ""Chespirito,"" peopled by every character he has created."
"743","Flash Gordon","6.1","1996-1997",30,"Animation, Action, Adventure","TV-PG",139,"After his astronaut parents are sucked into a dimensional hole to the planet Mongo, the teenage hoverboard enthusiast Flash Gordon, his love interest Dale Arden and the scientist Dr. Hans ... See full summary »"
"744","Sabrina's Secret Life","6.4","2003-2004",30,"Animation, Family","TV-Y",475,"These adventures focus on Sabrina training at a witchcraft academy, and feature the rival character Cassandra (aka 'Portia' from ""Friends Forever"")."
"745","Blackstar","6.8","1981-1982",30,"Animation, Adventure, Family",NA,775,"An astronaut, stranded on a primitive planet in a distant universe, fights against the tyranny of the Overlord."
"746","Bucky O'Hare and the Toad Wars!","7.4","1991-1992",30,"Animation, Action, Adventure",NA,820,"Galactic hero Bucky O'Hare and his brave crew battle the evil toads bent on conquering the universe. A young boy genius from the human universe joins Bucky's crew."
"747","Action League Now!!","8.1","2003-2004",25,"Animation, Comedy, Family","TV-Y7",647,"This KaBlam spinoff combines the original shorts into a half-hour program, while being connected to each other thematically."
"748","Los Luchadores","6.8","2000-2002",NA,"Action, Adventure, Comedy","TV-Y7",62,"Saban's action comedy show about three young heroic Canadian luchadores (one of them a girl) fighting supervillains."
"749","Ultraman: The Ultimate Hero","6.4","1993-1995",27,"Action, Adventure, Drama","TV-PG",77,"WINR member Kenichi Kai transforms into a new Ultraman to defend the Earth from giant monsters and aliens."
"750","Nightwing: Escalation","5.1","2011-",20,"Action",NA,94,"The adventures of Nightwing defending Gotham City in Batman's absence."
